Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,,Query1Text,Query2Text,Query3Text,Query4Text,Query5Text,Query6Text,Query7Text,Query8Text
36164,57123,33251,40373,13373,45860,209,642,,The ring is a great gift. My friend loves it,horrible bad quality bracelet,arrived promptly and happy with the seller,wear it with casual wear,i expected better quality. i will return this item,looks beautiful. The design is pretty. pefect and color is light,This ring looks nothing like the picture. the diamonds are small and not very noticeable,braclet looked just like its picture and is nice quality sterling silver.
58481,25299,17304,28648,17607,46500,28542,10642,,,,,,,,,
26246,55017,50019,37486,41459,27474,216,37794,,,,,,,,,
2033,7432,27679,30640,54748,43945,47345,45518,,,,,,,,,
48779,2114,6158,2131,33571,52837,11356,3494,,,,,,,,,
34523,40871,22408,19852,,12358,33632,735,,,,,,,,,
9726,,29722,2134,,41319,38637,10037,,,,,,,,,
56494,,36677,36585,,39932,7110,41872,,,,,,,,,
49525,,2780,26535,,45146,6649,28542,,,,,,,,,
45278,,17944,51474,,50197,51356,53409,,,,,,,,,
35694,,19944,21070,,8341,44358,56865,,,,,,,,,
41876,,31657,56330,,52375,36165,44489,,,,,,,,,
17309,,52867,53660,,,943,44490,,,,,,,,,
11135,,49216,44126,,,37864,,,,,,,,,,
17273,,,,,,,,,,,,,,,,
11247,,,,,,,,,,,,,,,,
